nome;sobrenome;email;telefone;empresa;cargo;cidade
Cocrias;1;cocrias.1@gmail.com;5199999991;Empresa X;Analista;Santa Catarina
Cocrias;2;cocrias.2@gmail.com;5199999992;Empresa Y;Assistente;Rio Grande do Sul
Cocrias;3;cocrias.3@gmail.com;5199999993;Empresa X;Diretor;Paraná
Cocrias;4;cocrias.4@gmail.com;5199999994;Empresa Y;Gerente;Minas Gerais
Cocrias;5;cocrias.5@gmail.com;5199999995;Empresa X;Analista;Bahia
Cocrias;8;cocrias.8@gmail.com;5199999996;Empresa Y;Assistente;Rio de Janeiro
William;Cursos 1;william.cursos1@gmail.com;5199999997;Empresa X;Diretor;Santa Catarina
William;Cursos 11;william.cursos11@gmail.com;5199999998;Empresa Y;Gerente;Rio Grande do Sul
William;Cursos 13;william.cursos13@gmail.com;5199999999;Empresa X;Analista;Paraná
William;Cursos 14;william.cursos14@gmail.com;5200000000;Empresa Y;Assistente;Minas Gerais
William;Cursos 16;william.cursos16@gmail.com;5200000001;Empresa X;Diretor;Bahia
William;Cursos 17;william.cursos17@gmail.com;5200000002;Empresa Y;Gerente;Rio de Janeiro
William;Cursos 2;william.cursos2@gmail.com;5200000003;Empresa X;Analista;Santa Catarina
William;Cursos 4;william.cursos4@gmail.com;5200000004;Empresa Y;Assistente;Rio Grande do Sul
William;Cursos 5;william.cursos5@gmail.com;5200000005;Empresa X;Diretor;Paraná
William;Cursos 6;william.cursos6@gmail.com;5200000006;Empresa Y;Gerente;Minas Gerais
William;Cursos 8;william.cursos8@gmail.com;5200000007;Empresa X;Analista;Bahia
